Exercício: 2020
Período: 1o. bimestre
Escopo: Capitais
Anexo 03 - Demonstrativo da Receita Corrente Líquida
Tabela: Receita Corrente Líquida
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";466790106,72
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";180696307,37
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"IPTU";"siconfi-cor_IPTULiquidoExcetoTransferenciasEFUNDEB";44621156,9
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"ISS";"siconfi-cor_ISSLiquidoExcetoTransferenciasEFUNDEB";89552072,14
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"ITBI";"siconfi-cor_ITBILiquidoExcetoTransferenciasEFUNDEB";11665932,12
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"IRRF";"siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB";19118460,07
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_OutrasReceitasTributarias";15738686,14
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Contribuições";"siconfi-cor_RREO3ReceitaDeContribuicoes";26537031,71
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Receita Patrimonial";"siconfi-cor_RREO3ReceitaPatrimonial";10040416,73
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Rendimentos de Aplicação Financeira";"siconfi-cor_RendimentosDeAplicacaoFinanceira";8754215,32
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";1286201,41
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Receita Industrial";"siconfi-cor_RREO3ReceitaIndustrial";159,95
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Receita de Serviços";"siconfi-cor_RREO3ReceitaDeServicos";262638,55
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Transferências Correntes";"siconfi-cor_RREO3TransferenciasCorrentes";239657366,41
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Cota-Parte do FPM";"siconfi-cor_RREO3CotaParteDoFPM";62047025,07
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Cota-Parte do ICMS";"siconfi-cor_RREO3CotaParteDoICMS";60538811,29
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Cota-Parte do IPVA";"siconfi-cor_RREO3CotaParteDoIPVA";12130142,52
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Transferências da LC nº 61/1989";"siconfi-cor_RREO3TransferenciasDaLC611989";627862,15
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Transferências do FUNDEB";"siconfi-cor_RREO3TransferenciasDoFUNDEB";41669236,36
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Outras Transferências Correntes";"siconfi-cor_RREO3OutrasTransferenciasCorrentes";62644289,02
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Outras Receitas Correntes";"siconfi-cor_RREO3OutrasReceitasCorrentes";9596186,00
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaReceitaCorrenteLiquida";39448215,92
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Contrib. do Servidor para o Plano de Previdência";"siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia";12370957,28
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Compensações Financ. entre Regimes Previdência";"siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia";8490,53
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"Dedução de Receita para Formação do FUNDEB";"siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB";27068768,11
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"RECEITA CORRENTE LÍQUIDA (III) = (I - II)";"siconfi-cor_RREO3ReceitaCorrenteLiquida";427341890,8
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV)";"siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento";427341890,8
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-11>";"RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (V - VI)";"siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal";427341890,8
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-10>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";496854630,07
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-10>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";183958476,67
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-10>";"IPTU";"siconfi-cor_IPTULiquidoExcetoTransferenciasEFUNDEB";44821162,92
Prefeitura Municipal de Salvador - BA;2927408;BA;2872347;"<MR-10>";"ISS";"siconfi-cor_ISSLiquidoExcetoTransferenciasEFUNDEB";88603240,34
