Exercício: 2022
Período: 1o. bimestre
Escopo: Capitais
Anexo 03 - Demonstrativo da Receita Corrente Líquida
Tabela: Receita Corrente Líquida
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";238733498,39
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";120054312,43
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"IPTU";"siconfi-cor_IPTULiquidoExcetoTransferenciasEFUNDEB";52696267,44
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"ISS";"siconfi-cor_ISSLiquidoExcetoTransferenciasEFUNDEB";38193644,25
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"ITBI";"siconfi-cor_ITBILiquidoExcetoTransferenciasEFUNDEB";4969061,86
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"IRRF";"siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB";2094558,00
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_OutrasReceitasTributarias";22100780,88
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"Contribuições";"siconfi-cor_RREO3ReceitaDeContribuicoes";5446556,99
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"Receita Patrimonial";"siconfi-cor_RREO3ReceitaPatrimonial";6650159,92
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"Rendimentos de Aplicação Financeira";"siconfi-cor_RendimentosDeAplicacaoFinanceira";6244358,43
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";405801,49
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"Receita de Serviços";"siconfi-cor_RREO3ReceitaDeServicos";215505,01
Prefeitura Municipal de Vitória - ES;3205309;ES;369534;"<MR-11>";"Transferências Correntes";"siconfi-cor_RREO3TransferenciasCorrentes";104916073,83
