Exercício: 2023
Período: 6o. bimestre
Escopo: Capitais
Anexo 03 - Demonstrativo da Receita Corrente Líquida
Tabela: Receita Corrente Líquida
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";748076602,18
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";260095848,26
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"IPTU";"siconfi-cor_IPTULiquidoExcetoTransferenciasEFUNDEB";63158513,88
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"ISS";"siconfi-cor_ISSLiquidoExcetoTransferenciasEFUNDEB";118868688,57
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"ITBI";"siconfi-cor_ITBILiquidoExcetoTransferenciasEFUNDEB";18068577,33
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"IRRF";"siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB";25091274,88
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_OutrasReceitasTributarias";34908793,6
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Contribuições";"siconfi-cor_RREO3ReceitaDeContribuicoes";39890224,84
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Receita Patrimonial";"siconfi-cor_RREO3ReceitaPatrimonial";39004079,3
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Rendimentos de Aplicação Financeira";"siconfi-cor_RendimentosDeAplicacaoFinanceira";35288134,05
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";3715945,25
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Receita de Serviços";"siconfi-cor_RREO3ReceitaDeServicos";690266,36
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Transferências Correntes";"siconfi-cor_RREO3TransferenciasCorrentes";381767821,91
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Cota-Parte do FPM";"siconfi-cor_RREO3CotaParteDoFPM";118836793,77
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Cota-Parte do ICMS";"siconfi-cor_RREO3CotaParteDoICMS";54463351,55
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Cota-Parte do IPVA";"siconfi-cor_RREO3CotaParteDoIPVA";32991524,77
Prefeitura Municipal de Salvador - BA;2927408;BA;2900319;"<MR-11>";"Cota-Parte do ITR";"siconfi-cor_RREO3CotaParteDoITR";15424,26
