Exercício: 2021
Período: 6o. bimestre
Escopo: Capitais
Anexo 03 - Demonstrativo da Receita Corrente Líquida
Tabela: Receita Corrente Líquida
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";168295392,69
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";46427054,97
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"IPTU";"siconfi-cor_IPTULiquidoExcetoTransferenciasEFUNDEB";16276431,81
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"ISS";"siconfi-cor_ISSLiquidoExcetoTransferenciasEFUNDEB";11369867,25
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"ITBI";"siconfi-cor_ITBILiquidoExcetoTransferenciasEFUNDEB";1220253,41
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"IRRF";"siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB";4687326,44
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Outros Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_OutrasReceitasTributarias";12873176,06
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Contribuições";"siconfi-cor_RREO3ReceitaDeContribuicoes";10697689,98
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Receita Patrimonial";"siconfi-cor_RREO3ReceitaPatrimonial";997848,3
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Rendimentos de Aplicação Financeira";"siconfi-cor_RendimentosDeAplicacaoFinanceira";983379,84
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Outras Receitas Patrimoniais";"siconfi-cor_OutrasReceitasPatrimoniais";14468,46
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Transferências Correntes";"siconfi-cor_RREO3TransferenciasCorrentes";107457746,75
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Cota-Parte do FPM";"siconfi-cor_RREO3CotaParteDoFPM";25802921,23
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Cota-Parte do ICMS";"siconfi-cor_RREO3CotaParteDoICMS";30458518,96
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Cota-Parte do IPVA";"siconfi-cor_RREO3CotaParteDoIPVA";5732414,67
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Cota-Parte do ITR";"siconfi-cor_RREO3CotaParteDoITR";92720,92
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Transferências da LC nº 61/1989";"siconfi-cor_RREO3TransferenciasDaLC611989";263129,18
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Transferências do FUNDEB";"siconfi-cor_RREO3TransferenciasDoFUNDEB";22825756,18
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Outras Transferências Correntes";"siconfi-cor_RREO3OutrasTransferenciasCorrentes";22282285,61
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Outras Receitas Correntes";"siconfi-cor_RREO3OutrasReceitasCorrentes";2715052,69
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"DEDUÇÕES (II)";"siconfi-cor_DeducoesDaReceitaCorrenteLiquida";20762605,1
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Contrib. do Servidor para o Plano de Previdência";"siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia";7852370,5
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Compensações Financ. entre Regimes Previdência";"siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia";1280,18
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"Dedução de Receita para Formação do FUNDEB";"siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB";12908954,42
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"RECEITA CORRENTE LÍQUIDA (III) = (I - II)";"siconfi-cor_RREO3ReceitaCorrenteLiquida";147532787,59
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV)";"siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento";147532787,59
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-11>";"RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (V - VI)";"siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal";147532787,59
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-10>";"RECEITAS CORRENTES (I)";"siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB";126067755,89
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-10>";"Impostos, Taxas e Contribuições de Melhoria";"siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB";28551175,23
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-10>";"IPTU";"siconfi-cor_IPTULiquidoExcetoTransferenciasEFUNDEB";3765979,67
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-10>";"ISS";"siconfi-cor_ISSLiquidoExcetoTransferenciasEFUNDEB";10604428,81
Prefeitura Municipal de Porto Velho - RO;1100205;RO;539354;"<MR-10>";"ITBI";"siconfi-cor_ITBILiquidoExcetoTransferenciasEFUNDEB";1298242,74
